"treatment","direction","nCrittersGame_bin","representation_bin","count","prop","entropy_bin"
"interactive","RS","(25,30]","(0.36,0.48]",1,0.00444444444444444,NA
"interactive","RS","(35,40]","(0.36,0.48]",1,0.00444444444444444,NA
"interactive","SR","(20,25]","(0.12,0.24]",1,0.00444444444444444,NA
"interactive","SR","(20,25]","[0,0.12]",1,0.00444444444444444,NA
"interactive","SR","(25,30]","(0.24,0.36]",1,0.00444444444444444,NA
"interactive","SR","(30,35]","(0.12,0.24]",1,0.00444444444444444,NA
"interactive","SR","(30,35]","(0.36,0.48]",1,0.00444444444444444,NA
"interactive","SR","(30,35]","(0.48,0.6]",1,0.00444444444444444,NA
"interactive","SR","(30,35]","[0,0.12]",1,0.00444444444444444,NA
"interactive","SR","(35,40]","[0,0.12]",1,0.00444444444444444,NA
"interactive","SR","[15,20]","(0.12,0.24]",1,0.00444444444444444,NA
"interactive","SR","[15,20]","(0.36,0.48]",1,0.00444444444444444,NA
"slider","RS","(20,25]","(0.24,0.36]",1,0.00444444444444444,NA
"slider","RS","(20,25]","(0.48,0.6]",1,0.00444444444444444,NA
"slider","RS","(20,25]","[0,0.12]",1,0.00444444444444444,NA
"slider","RS","(25,30]","(0.12,0.24]",1,0.00444444444444444,NA
"slider","RS","(35,40]","(0.48,0.6]",1,0.00444444444444444,NA
"slider","RS","[15,20]","(0.36,0.48]",1,0.00444444444444444,NA
"slider","RS","[15,20]","[0,0.12]",1,0.00444444444444444,NA
"slider","SR","(20,25]","(0.12,0.24]",1,0.00444444444444444,NA
"slider","SR","(20,25]","(0.48,0.6]",1,0.00444444444444444,NA
"slider","SR","(25,30]","(0.48,0.6]",1,0.00444444444444444,NA
"slider","SR","(35,40]","(0.24,0.36]",1,0.00444444444444444,NA
"slider","SR","(35,40]","(0.36,0.48]",1,0.00444444444444444,NA
"interactive","RS",NA,"(0.36,0.48]",1,0.0714285714285714,"(0.54,0.81]"
"interactive","SR",NA,"(0.36,0.48]",1,0.166666666666667,"(0.27,0.54]"
"interactive","SR",NA,"(0.24,0.36]",1,0.0909090909090909,"(0.54,0.81]"
"interactive","SR",NA,"[0,0.12]",1,0.0909090909090909,"(0.54,0.81]"
"interactive","SR",NA,"(0.12,0.24]",1,0.125,"(0.81,1.1]"
"interactive","SR",NA,"(0.48,0.6]",1,0.125,"(0.81,1.1]"
"interactive","SR",NA,"(0.36,0.48]",1,0.1,"(1.1,1.4]"
"interactive","SR",NA,"(0.24,0.36]",1,0.125,"(1.4,1.6]"
"slider","RS",NA,"(0.12,0.24]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.36,0.48]",1,0.0833333333333333,"(1.1,1.4]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(1.4,1.6]"
"slider","SR",NA,"(0.12,0.24]",1,0.1,"(1.4,1.6]"
"interactive","RS",NA,"(0.36,0.48]",1,0.0714285714285714,"(0.54,0.81]"
"interactive","SR",NA,"(0.36,0.48]",1,0.166666666666667,"(0.27,0.54]"
"interactive","SR",NA,"(0.24,0.36]",1,0.0909090909090909,"(0.54,0.81]"
"interactive","SR",NA,"[0,0.12]",1,0.0909090909090909,"(0.54,0.81]"
"interactive","SR",NA,"(0.12,0.24]",1,0.125,"(0.81,1.1]"
"interactive","SR",NA,"(0.48,0.6]",1,0.125,"(0.81,1.1]"
"interactive","SR",NA,"(0.36,0.48]",1,0.1,"(1.1,1.4]"
"interactive","SR",NA,"(0.24,0.36]",1,0.125,"(1.4,1.6]"
"slider","RS",NA,"(0.12,0.24]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(0.54,0.81]"
"slider","RS",NA,"(0.36,0.48]",1,0.0833333333333333,"(1.1,1.4]"
"slider","RS",NA,"(0.24,0.36]",1,0.111111111111111,"(1.4,1.6]"
"slider","SR",NA,"(0.12,0.24]",1,0.1,"(1.4,1.6]"
